id,uri,siglaTipo,codTipo,numero,ano,ementa,dataApresentacao
2345742,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345742,PL,139,66,2023,Institui o Estatuto do Pedestre,2023-02-02T09:10
2345743,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345743,PL,139,67,2023,"Altera a Lei da Política Nacional de Mobilidade Urbana para criar os conselhos deliberativos nacional, estaduais e municipais de Mobilidade Urbana.",2023-02-02T09:10
2345744,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345744,PL,139,68,2023,"Eleva a tributação aplicável às bebidas processadas adicionadas de açúcar, edulcorantes e aromatizantes a fim de estimular seu consumo consciente.",2023-02-02T09:10
2345745,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345745,PL,139,69,2023,"Altera a Lei Complementar nº 101, de 4 de maio de 2000, que estabelece normas de finanças públicas voltadas para a responsabilidade na gestão fiscal e dá outras providências.",2023-02-02T09:10
2345746,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345746,PL,139,70,2023,Dispõe sobre a obrigatoriedade da Natureza Pública dos Bancos de Sangue de Cordão Umbilical e Placentário.,2023-02-02T09:10
2345748,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345748,PL,139,71,2023,-Institui a Política Nacional de Infraestrutura Verde.,2023-02-02T09:10
2345750,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345750,PL,139,72,2023,Dispõe acerca da valoração da energia elétrica ativa injetada na rede de distribuição por microgeração ou minigeração distribuída.,2023-02-02T09:10
2345751,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345751,PL,139,73,2023,"Altera o § 2º do art. 833 da Lei nº 13.105, de 16 de março de 2015 – Código Civil, para permitir desconto de prestação alimentícia em parcela de seguro-desemprego.",2023-02-02T09:10
2346756,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346756,PL,139,91,2023,"Declara Édson Arantes do Nascimento, Pelé, Patrono do Futebol Brasileiro.",2023-02-02T09:10
2346758,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346758,PL,139,92,2023,"Modifica a redação do inciso VI, do Art. 35, da Lei 9.250, de 26 de dezembro de 1995, para alterar a Legislação do Imposto de Renda no que tange à inclusão do ascendente como dependente do contribuinte.",2023-02-02T09:10
2346759,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346759,PL,139,93,2023,"Acrescenta o § 2º ao art. 397 da Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil), para admitir a interpelação extrajudicial por meios eletrônicos.",2023-02-02T09:10
2346761,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2346761,PL,139,94,2023,"Dispõe sobre a obrigatoriedade de órgãos e entidades públicas federais transmitirem as sessões colegiadas por meio audiovisual, em tempo real e pela internet.",2023-02-02T09:10
